sale_id,sale_date,total_price,quantity,store_location,channel,category
14,2023-01-01 00:00:00,318.36,4,Tallinn,pood,meeste_riided
48,2023-01-01 00:00:00,48.58,1,Tallinn,pood,laste_riided
69,2023-01-01 00:00:00,145.72,1,Tartu,pood,aksessuaarid
116,2023-01-01 00:00:00,1279.92,4,Tallinn,pood,jalanõusid
152,2023-01-01 00:00:00,823.50,3,Pärnu,pood,meeste_riided
156,2023-01-01 00:00:00,63.95,1,Tallinn,pood,jalanõusid
220,2023-01-01 00:00:00,350.50,2,Pärnu,pood,meeste_riided
246,2023-01-01 00:00:00,218.54,1,null,online,jalanõusid
254,2023-01-01 00:00:00,175.25,1,Pärnu,pood,meeste_riided
4,2023-01-02 00:00:00,135.63,3,Tartu,pood,aksessuaarid
53,2023-01-02 00:00:00,145.46,2,Tallinn,pood,naiste_riided
74,2023-01-02 00:00:00,63.95,1,Pärnu,pood,jalanõusid
79,2023-01-02 00:00:00,342.66,2,Tallinn,pood,meeste_riided
83,2023-01-02 00:00:00,583.44,2,Tallinn,pood,jalanõusid
122,2023-01-02 00:00:00,701.00,4,Tartu,pood,meeste_riided
135,2023-01-02 00:00:00,356.57,1,Tallinn,pood,meeste_riided
146,2023-01-02 00:00:00,221.40,2,Tallinn,pood,laste_riided
161,2023-01-02 00:00:00,274.50,1,Tallinn,pood,meeste_riided
184,2023-01-02 00:00:00,41.63,1,Tartu,pood,naiste_riided
204,2023-01-02 00:00:00,225.28,1,Tallinn,pood,aksessuaarid
229,2023-01-02 00:00:00,134.58,1,Tallinn,pood,meeste_riided
18,2023-01-03 00:00:00,179.35,1,Tartu,pood,naiste_riided
66,2023-01-03 00:00:00,58.49,1,Tallinn,pood,jalanõusid
95,2023-01-03 00:00:00,240.34,2,null,online,jalanõusid
98,2023-01-03 00:00:00,207.23,1,Tartu,pood,jalanõusid
106,2023-01-03 00:00:00,121.51,1,Tartu,pood,jalanõusid
151,2023-01-03 00:00:00,182.44,2,null,online,meeste_riided
244,2023-01-03 00:00:00,451.62,2,Tartu,pood,naiste_riided
35,2023-01-04 00:00:00,493.94,2,Tallinn,pood,meeste_riided
77,2023-01-04 00:00:00,188.46,3,null,online,laste_riided
85,2023-01-04 00:00:00,184.02,1,Pärnu,pood,aksessuaarid
88,2023-01-04 00:00:00,201.86,2,Tallinn,pood,meeste_riided
105,2023-01-04 00:00:00,261.46,2,Tallinn,pood,laste_riided
120,2023-01-04 00:00:00,74.70,1,Tallinn,pood,jalanõusid
168,2023-01-04 00:00:00,288.40,2,null,online,meeste_riided
170,2023-01-04 00:00:00,327.07,1,Tallinn,pood,meeste_riided
207,2023-01-04 00:00:00,112.68,1,Pärnu,pood,laste_riided
228,2023-01-04 00:00:00,588.64,4,Tallinn,pood,aksessuaarid
3,2023-01-05 00:00:00,221.19,1,Pärnu,pood,jalanõusid
15,2023-01-05 00:00:00,47.07,1,Pärnu,pood,aksessuaarid
75,2023-01-05 00:00:00,420.92,4,null,online,laste_riided
149,2023-01-05 00:00:00,81.85,1,null,online,meeste_riided
157,2023-01-05 00:00:00,282.29,1,Tartu,pood,jalanõusid
185,2023-01-05 00:00:00,180.14,1,null,online,naiste_riided
188,2023-01-05 00:00:00,190.78,2,null,online,aksessuaarid
190,2023-01-05 00:00:00,460.86,3,null,online,jalanõusid
192,2023-01-05 00:00:00,450.56,2,null,online,aksessuaarid
195,2023-01-05 00:00:00,-279.48,2,Tallinn,pood,naiste_riided
203,2023-01-05 00:00:00,544.10,2,Tallinn,pood,naiste_riided
206,2023-01-05 00:00:00,216.18,2,null,online,naiste_riided
213,2023-01-05 00:00:00,312.41,1,Tallinn,pood,meeste_riided
239,2023-01-05 00:00:00,145.50,1,Tallinn,pood,jalanõusid
20,2023-01-06 00:00:00,695.68,2,Tallinn,pood,meeste_riided
23,2023-01-06 00:00:00,353.30,2,null,online,aksessuaarid
54,2023-01-06 00:00:00,79.59,1,null,online,meeste_riided
