sale_id,sale_date,customer_id,total_price,quantity,product_name,category,loyalty_tier
14,2023-01-01 00:00:00,2755,318.36,4,Soe teksane smokingüklikond,meeste_riided,null
156,2023-01-01 00:00:00,4288,63.95,1,Stiilne villane kontsakingad,jalanõusid,silver
48,2023-01-01 00:00:00,3514,48.58,1,Soe fliisist pidžaama,laste_riided,null
116,2023-01-01 00:00:00,2441,1279.92,4,Praktiline kangast kõrge kontsaga kingad,jalanõusid,gold
204,2023-01-02 00:00:00,4119,225.28,1,Moodne keraamiline nahkvöö,aksessuaarid,null
79,2023-01-02 00:00:00,4896,342.66,2,Soe teksane bleiser,meeste_riided,null
146,2023-01-02 00:00:00,2652,221.40,2,Elegantne villane sukkpüksid,laste_riided,silver
229,2023-01-02 00:00:00,4150,134.58,1,Vintage tweed smokingüklikond,meeste_riided,null
53,2023-01-02 00:00:00,2927,145.46,2,Minimalistlik džersii chino püksid,naiste_riided,silver
161,2023-01-02 00:00:00,4458,274.50,1,Luksuslik polüester V-kaelusega kampsun,meeste_riided,gold
135,2023-01-02 00:00:00,4220,356.57,1,Õhuline tweed püksid,meeste_riided,gold
83,2023-01-02 00:00:00,4624,583.44,2,Õhuline sünteetiline kõrge kontsaga kingad,jalanõusid,null
66,2023-01-03 00:00:00,2017,58.49,1,Luksuslik nahkne madalad kontsad,jalanõusid,silver
105,2023-01-04 00:00:00,2396,261.46,2,Vintage orgaaniline body,laste_riided,gold
35,2023-01-04 00:00:00,2339,493.94,2,Minimalistlik džersii polo särk,meeste_riided,bronze
88,2023-01-04 00:00:00,4001,201.86,2,Boheemlaslik polüester casual särk,meeste_riided,silver
120,2023-01-04 00:00:00,3556,74.70,1,Luksuslik villane saapad,jalanõusid,silver
213,2023-01-05 00:00:00,3085,312.41,1,Mugav merino villane tuulejope,meeste_riided,null
203,2023-01-05 00:00:00,2577,544.10,2,Praktiline viskoosne õhtukleit,naiste_riided,null
239,2023-01-05 00:00:00,2518,145.50,1,Soe villane kingad,jalanõusid,silver
195,2023-01-05 00:00:00,4070,-279.48,2,Trendikas džersii miniseelik,naiste_riided,silver
210,2023-01-06 00:00:00,3041,256.88,2,Elegantne orgaaniline tuulejope,laste_riided,null
20,2023-01-06 00:00:00,2539,695.68,2,Luksuslik teksane polo särk,meeste_riided,gold
224,2023-01-06 00:00:00,2744,958.26,3,Praktiline džersii seelik,naiste_riided,gold
144,2023-01-07 00:00:00,3446,1662.75,5,Praktiline merino villane parka,meeste_riided,silver
87,2023-01-07 00:00:00,2677,139.74,1,Trendikas džersii miniseelik,naiste_riided,silver
47,2023-01-07 00:00:00,3457,225.81,1,Klassikaline kashmiir pusa,naiste_riided,bronze
41,2023-01-07 00:00:00,4239,203.08,4,Sportlik siidine cargo püksid,naiste_riided,null
257,2023-01-07 00:00:00,3850,259.69,1,Luksuslik tweed triiksärk,meeste_riided,null
9,2023-01-07 00:00:00,3308,22.04,1,Elegantne metallist sall,aksessuaarid,null
51,2023-01-07 00:00:00,3493,29.48,1,Mugav klaasist kõrvarõngad,aksessuaarid,null
145,2023-01-07 00:00:00,3240,482.73,3,Praktiline polüester casual särk,meeste_riided,gold
177,2023-01-08 00:00:00,3921,47.07,1,Boheemlaslik klaasist kaelakee,aksessuaarid,null
33,2023-01-08 00:00:00,2331,312.26,2,Õhuline nahkne elastne vöö,aksessuaarid,null
201,2023-01-08 00:00:00,3665,89.29,1,Klassikaline džersii bleiser,meeste_riided,silver
108,2023-01-08 00:00:00,3398,106.71,1,Vintage metallist seljakott,aksessuaarid,gold
10,2023-01-08 00:00:00,2809,72.14,1,Vintage villane püksid,laste_riided,null
99,2023-01-08 00:00:00,4264,51.50,1,Minimalistlik softshell chino püksid,laste_riided,null
205,2023-01-09 00:00:00,4768,259.38,3,Moodne trikoo koolikomplekt,laste_riided,null
159,2023-01-09 00:00:00,3984,72.14,1,Vintage villane püksid,laste_riided,silver
261,2023-01-09 00:00:00,3212,58.84,2,Kerge nahkne õlakott,aksessuaarid,silver
180,2023-01-10 00:00:00,2547,53.99,1,Moodne villane pühapäevakleit,laste_riided,null
1,2023-01-10 00:00:00,2588,469.58,2,Soe teksane chino püksid,meeste_riided,bronze
107,2023-01-10 00:00:00,3837,371.05,1,Trendikas goretex oxfordid,jalanõusid,null
82,2023-01-11 00:00:00,3251,314.98,2,Praktiline seemisnahkne tennised,jalanõusid,bronze
142,2023-01-11 00:00:00,3525,381.62,2,Praktiline nahkne nahk sandaalid,jalanõusid,silver
251,2023-01-11 00:00:00,3398,183.40,1,Moodne siidine sall,aksessuaarid,gold
232,2023-01-11 00:00:00,4235,305.72,1,Vintage nahkne tossud,jalanõusid,null
16,2023-01-11 00:00:00,3357,145.72,1,Trendikas nahkne sõrmus,aksessuaarid,silver
26,2023-01-11 00:00:00,4167,160.21,1,Boheemlaslik merino villane cargo püksid,meeste_riided,gold
115,2023-01-12 00:00:00,2759,396.84,2,Boheemlaslik seemisnahkne oxfordid,jalanõusid,null
11,2023-01-12 00:00:00,3837,545.04,3,Boheemlaslik kangast kangasvöö,aksessuaarid,null
59,2023-01-14 00:00:00,4490,803.55,5,Stiilne džersii püksid,meeste_riided,gold
211,2023-01-14 00:00:00,3853,823.56,4,Stiilne puust müts,aksessuaarid,silver
240,2023-01-14 00:00:00,4533,905.91,3,Kerge džersii pluus,naiste_riided,gold
173,2023-01-14 00:00:00,3894,50.77,1,Sportlik siidine cargo püksid,naiste_riided,bronze
214,2023-01-14 00:00:00,4868,-414.39,3,Õhuline orgaaniline alussärk,laste_riided,gold
36,2023-01-15 00:00:00,2285,277.80,2,Soe polüester slim-fit püksid,meeste_riided,bronze
227,2023-01-15 00:00:00,4024,602.31,3,Mugav kashmiir skaterkleit,naiste_riided,gold
226,2023-01-15 00:00:00,4178,176.65,1,Praktiline kangast elastne vöö,aksessuaarid,null
39,2023-01-16 00:00:00,3629,437.98,2,Boheemlaslik džersii teksapüksid,naiste_riided,bronze
235,2023-01-17 00:00:00,4178,874.16,4,Boheemlaslik nahkne kõrge kontsaga kingad,jalanõusid,null
147,2023-01-17 00:00:00,3249,704.37,3,Soe teksane chino püksid,meeste_riided,bronze
217,2023-01-17 00:00:00,3384,305.72,1,Vintage nahkne tossud,jalanõusid,silver
153,2023-01-18 00:00:00,4833,243.02,2,Stiilne kangast jooksutossud,jalanõusid,gold
13,2023-01-18 00:00:00,2511,95.39,1,Klassikaline kangast nahkkindad,aksessuaarid,bronze
118,2023-01-19 00:00:00,2439,107.67,1,Vintage teksane chino püksid,meeste_riided,bronze
132,2023-01-19 00:00:00,2635,504.66,2,Mugav kashmiir pusa,naiste_riided,gold
43,2023-01-19 00:00:00,2247,95.87,1,Sportlik softshell teksapüksid,laste_riided,silver
70,2023-01-20 00:00:00,4255,356.57,1,Õhuline tweed püksid,meeste_riided,silver
242,2023-01-20 00:00:00,3654,412.68,2,Soe seemisnahkne jooksutossud,jalanõusid,bronze
191,2023-01-20 00:00:00,4054,504.20,2,Soe sünteetiline sandaalid,jalanõusid,null
193,2023-01-20 00:00:00,3236,66.88,1,Minimalistlik keraamiline sall,aksessuaarid,bronze
199,2023-01-20 00:00:00,4745,263.13,1,Soe satiinne pluus,naiste_riided,silver
32,2023-01-22 00:00:00,2423,368.14,2,Õhuline puuvillane kampsun,meeste_riided,null
171,2023-01-22 00:00:00,4080,776.73,3,Mugav merino villane cargo püksid,meeste_riided,silver
237,2023-01-23 00:00:00,2041,626.49,3,Soe merino villane topik,naiste_riided,bronze
103,2023-01-23 00:00:00,4276,209.05,1,Stiilne kashmiir jakk,naiste_riided,bronze
223,2023-01-23 00:00:00,4266,553.94,2,Klassikaline kangast tennised,jalanõusid,bronze
104,2023-01-24 00:00:00,4217,544.10,2,Praktiline viskoosne õhtukleit,naiste_riided,gold
100,2023-01-24 00:00:00,3350,188.50,2,Trendikas villane tuulejope,laste_riided,silver
93,2023-01-24 00:00:00,4131,104.08,2,Elegantne orgaaniline kleit,laste_riided,gold
114,2023-01-25 00:00:00,2304,188.91,1,Klassikaline nahkne sõrmus,aksessuaarid,bronze
140,2023-01-25 00:00:00,3128,504.66,2,Mugav kashmiir pusa,naiste_riided,null
236,2023-01-25 00:00:00,4414,78.09,1,Minimalistlik viskoosne skaterkleit,naiste_riided,silver
249,2023-01-25 00:00:00,4624,407.97,3,Minimalistlik linane tuunika,naiste_riided,null
253,2023-01-25 00:00:00,3825,585.22,2,Sportlik villane tossud,jalanõusid,null
123,2023-01-26 00:00:00,4105,283.24,2,Moodne orgaaniline skaterkleit,laste_riided,null
167,2023-01-26 00:00:00,3605,574.44,3,Vintage kangast vöö,aksessuaarid,null
128,2023-01-27 00:00:00,3899,105.09,1,Kerge linane kampsun,meeste_riided,gold
250,2023-01-28 00:00:00,3644,100.93,1,Boheemlaslik polüester casual särk,meeste_riided,null
50,2023-01-28 00:00:00,2025,144.20,1,Mugav flanellne parka,meeste_riided,null
56,2023-01-28 00:00:00,4517,218.54,1,Boheemlaslik nahkne kõrge kontsaga kingad,jalanõusid,gold
84,2023-01-28 00:00:00,4952,368.67,1,Moodne villane nahk sandaalid,jalanõusid,bronze
175,2023-01-29 00:00:00,4949,676.86,2,Mugav tweed ülikond,meeste_riided,bronze
117,2023-01-29 00:00:00,2070,232.40,2,Stiilne linane tuulejope,meeste_riided,bronze
219,2023-01-29 00:00:00,4460,73.90,1,Trendikas puuvillane body,laste_riided,silver
72,2023-01-29 00:00:00,3953,77.40,2,Praktiline puuvillane sukkpüksid,laste_riided,bronze
92,2023-01-29 00:00:00,2704,614.54,2,Sportlik seemisnahkne nahk sandaalid,jalanõusid,null
125,2023-01-30 00:00:00,4141,307.24,2,Praktiline seemisnahkne saapad,jalanõusid,null
64,2023-01-30 00:00:00,2638,153.11,1,Minimalistlik puust kootud müts,aksessuaarid,silver
89,2023-01-31 00:00:00,2889,125.64,2,Trendikas villane dressikomplekt,laste_riided,silver
119,2023-01-31 00:00:00,4312,155.84,1,Elegantne keraamiline rahakott,aksessuaarid,null
